Protein,A/N 1,A/N 2,A/N 3,A/N 4,A/N 5,A/N 6,A/N 7,A/N 8,A/N 9,A/N 10,A/N 11,A/N 12,A/N 13,A/N 14,A/N 15,A/N 16,A/N 17,A/N 18,A/N 19,A/N 20,A/N 21,A/N 22,A/N 23,A/N 24,A/N 25,A/N 26,A/N 27,A/N 28,A/N 29,A/N 30,,,,,,0,0
B0V043,-0.295629876,-0.768907379,-0.367988352,0.140739639,0.08255576,-0.053809966,0.001603801,0.071297675,0.11145497,0.156298417,0.107999214,0.011795161,-0.088254041,0.272274358,0.084098589,0.586292775,0.74977157,0.029805209,-0.274092498,-0.315679632,-0.124249756,-0.257968435,0.080662504,0.239854707,0.27224216,0.754228783,0.314018868,0.350955619,0.549015426,0.339398765,,,,,,,
B1AH89,0.020907841,0.16819266,0.442691014,0.318216464,0.249045707,0.006952125,0.162409608,-0.141563353,0.07151986,0.131599175,0.03424004,0.169617196,0.231854726,0.315229866,0.148800442,-0.243305086,0.112795531,0.076019352,0.299112204,0.480386798,0.338026609,0.564401851,1.144125805,-0.436725672,-0.104503968,0.866244589,0.144112419,-0.221299963,-0.166172065,0.117237949,,,,,,,
B3KQT9,0.391353981,0.274639826,-0.109973653,0.266667117,0.50627385,0.154497917,0.002893884,-0.090509989,-0.166347487,0.101531069,-0.164686769,-0.0771221,-0.098764988,-0.115933086,0.037063076,0.632263782,0.456437449,-0.175824908,-0.119867866,0.326312725,-0.158668416,0.008027178,-0.589499079,-0.56436863,0.553336095,0.38194969,-0.237263196,0.245999776,-0.077296271,-0.199000287,,,,,,,
B4DNR3,-0.09330152,0.065264969,0.376153895,-0.264062577,-0.426065705,-0.339628248,-0.064054203,0.047074682,0.191565381,-0.048828153,-0.116546092,0.007585149,0.108919205,-0.273228257,0.217905019,-0.827999181,0.193182647,0.132723293,-0.156748486,-0.153177051,-0.426769705,0.715213736,0.203248236,-0.598783337,-0.796922196,-0.239298906,-0.182297444,0.710528623,-1.108059781,-0.737068116,,,,,,,
B4DVY1,0.235038153,-0.256730591,-0.201347445,-0.448833816,-0.603853552,-0.144211636,0.035155021,-0.016808858,-0.001165038,-0.347044967,-0.06232725,0.187794945,0.315696728,-0.298994008,-0.418979295,0.282120912,0.409801337,-0.120886988,-0.058927622,0.341666508,0.089102483,-0.334872147,0.178297041,0.087850277,-0.022379163,0.494565865,-0.500677716,-0.016706055,0.568367262,-0.477342423,,,,,,,
B4E1Z4,-0.728095815,-0.71077385,-0.553100017,0.417926982,-0.621849042,-0.13828576,-0.717629909,0.037914914,-0.169786617,-0.157451976,0.043521757,-0.308899536,-0.212796552,-0.164504679,-0.166831289,-1.027196276,0.655629323,-0.756434554,-0.183959586,-0.061296014,-0.339816418,0.177555488,0.170012632,-0.088491729,-0.899868001,0.248914128,-0.035324803,-0.025296085,0.008029896,-0.683900956,,,,,,,
B4E2N0,0.542457409,0.635917704,0.170790184,-0.023216051,0.523802128,-0.009056373,-0.111699762,0.035992176,-0.073535308,0.031283267,0.076828395,0.184834072,0.353023284,-0.092641748,0.016567416,-0.454924439,0.368707238,0.390772097,1.405579816,0.426510398,0.022410899,0.35546988,-0.682486275,-0.747316401,1.077875305,-0.04709165,-0.195821413,1.14532182,-0.171371471,-0.221928769,,,,,,,
B5MCA4,0.048491295,-0.204674783,0.629056922,-0.396625871,0.836899818,0.097605635,0.148019545,-0.025040513,0.05237183,-0.660968309,0.214924836,0.25038705,0.01407185,-0.062094653,-0.00859115,-0.227875896,0.337965042,-0.643786447,-0.17306255,0.317742028,0.210112042,1.103488821,-0.487200483,-0.500403634,0.476954135,-0.100540098,-0.423475702,0.356587399,-0.297532259,0.262510963,,,,,,,
B5ME91,-0.192674688,-0.961508481,-0.679541843,-0.442253648,-1.179732367,-0.253666657,0.087594855,-0.141263879,-0.201785518,-0.327345295,-0.351997641,-0.259514637,-0.139951697,0.017522005,0.05758333,-0.775361694,-0.887291888,-0.321830149,0.179671643,0.130773187,-0.043902747,-0.311839285,-0.247472594,-0.272276142,-0.094238756,-0.59230191,-0.25776761,-0.188219181,-0.765916683,-0.706372011,,,,,,,
B5TJY2,-0.314934827,-1.336665274,-1.021077823,0.140815314,0.016415556,-0.01507088,0.176096835,0.307430391,-0.112464398,-0.261339075,-0.512755936,-0.757159644,-1.079245985,0.153791539,0.287426344,-0.110745489,0.311402825,0.018848357,0.284171336,-0.434108204,0.06878669,-0.454283558,-0.243510382,-0.47784669,0.499577425,0.075571366,-0.175407573,3.000305056,-0.820857969,-0.364763626,,,,,,,
