Protein,A/N 1,A/N 2,A/N 3,A/N 4,A/N 5,A/N 6,A/N 7,A/N 8,A/N 9,A/N 10,A/N 11,A/N 12,A/N 13,A/N 14,A/N 15,A/N 16,A/N 17,A/N 18,A/N 19,A/N 20,A/N 21,A/N 22,A/N 23,A/N 24,A/N 25,A/N 26,A/N 27,A/N 28,A/N 29,A/N 30,,,,,,0,0
O95571,-0.752499903,-0.752158759,-0.214289631,-0.666667932,-1.133041347,-0.723307492,-0.169707321,-0.209654572,-0.290358962,-0.467679031,-0.341162119,-0.098870548,0.343097483,-0.494940493,-0.048102471,-0.767738362,-0.167207234,-0.667195651,-0.452361852,-0.032785735,-0.132463208,-0.405057364,-0.682831834,-0.964217144,-0.803509503,-0.179981646,-0.649179142,-0.080924739,-0.690408544,-0.696339332,,,,,,,
O95777,-0.830405122,-0.261434059,0.127622653,-0.419813863,0.112300037,0.289460125,0.11910978,0.072101815,0.003712056,0.096443133,-0.033351634,0.154701289,0.116231678,0.069515326,0.092645928,-0.910977402,0.501963397,-0.676403528,0.196373346,0.423752318,0.263959274,0.184598933,-0.466533743,0.013298949,5.207175753,0.523209663,2.503471049,-0.221297708,1.162205692,0.922534988,,,,,,,
O95831,0.013090588,0.038965871,0.059503461,-0.079608009,-0.511996253,0.06774552,0.065719576,-0.018443714,0.043189811,-0.11610482,-0.046026788,-0.298579687,0.22063739,0.139884904,0.041272595,0.200922676,0.194565781,-0.04284154,-0.679319028,-0.259374779,0.190708019,0.096364198,0.018193,-0.159058836,0.123336038,0.598196002,-0.396946162,-0.339325419,0.192245812,0.100706271,,,,,,,
O95881,0.484609858,0.681111395,-0.026353566,0.21990851,0.735639823,0.342314807,0.001117705,-0.003492271,0.100346902,0.099065172,0.037734394,-0.065727354,0.009340142,0.179111795,0.127284531,0.569600505,0.717507824,0.040771615,0.856527474,1.077839287,0.154577871,0.251835266,0.649179109,0.088902793,0.808831136,0.785703571,0.175138949,0.521416336,0.342086574,0.346078953,,,,,,,
O95994,0.302001521,0.707108846,0.462986976,-0.016539593,1.590874235,0.539032316,0.081431096,-0.046446941,0.444836411,0.44773808,0.194933977,0.409535644,-0.196371769,-0.386469806,-0.139222494,0.738191046,0.731676881,0.623082896,0.788093075,1.796107896,0.029540549,-0.215682966,-0.57829248,-0.971768972,1.049064638,-0.309636438,-0.162869777,0.221470102,-0.806836743,0.004031263,,,,,,,
P00338,0.159335644,0.714140635,0.48930089,0.493060947,1.031258128,0.258607299,0.140097401,-0.049210531,0.15949511,0.144688336,-0.089214238,0.277166038,0.384307531,0.328956088,0.060352365,0.984813114,1.333274309,0.399847486,0.572794021,0.764609706,0.321143299,0.232859556,1.344632655,0.998369729,0.794907333,0.509901751,0.512490094,0.850140563,0.866515948,0.075487226,,,,,,,
P00403,-0.658038544,-2.067230377,0.58288482,-0.279092041,-1.267031915,-0.336500693,-0.049959465,0.052461511,-0.12809057,0.107797217,-0.211874921,-0.331585977,0.037663974,-0.192642361,0.004523891,-0.503778848,-0.689805721,-0.101847245,-0.345625783,-0.456342416,-0.803017338,-0.014929877,0.186139157,-1.646703711,0.091510352,0.754842262,-0.612224334,-0.920340179,-1.178900112,-0.320361248,,,,,,,
P00450,-0.961219363,-0.342427292,0.241614649,0.12149481,-0.960930597,-0.09644231,-0.725354536,-0.17809798,-0.198849141,0.046760843,0.146225112,-0.530690742,-0.021582466,-0.411938737,-0.029291686,-1.183544369,0.592451192,-0.648414344,0.118658541,-0.509097033,-1.159998177,0.358837246,-0.223834185,-0.728275734,-1.329286901,-0.727065596,-0.567069458,0.473034457,-0.304705964,-0.347096397,,,,,,,
P00488,-1.149794474,-1.421465379,-0.747501231,-1.009361556,-0.986382989,-0.950238482,-0.494550222,-0.214042129,-0.80039202,-0.847314292,-0.614739796,-1.461711681,-0.696976911,-0.870991209,0.03188745,-1.744129227,-0.521241484,-1.456441088,-1.474857277,-1.436345441,-1.843344726,-0.517046324,-0.563439905,-1.017328813,-1.209245289,-1.068473287,-1.663496793,-0.453111615,-1.231240067,-2.055331767,,,,,,,
P00491,-0.115795548,0.049585408,0.76366141,0.200624484,0.880883684,0.017314212,-0.118379547,0.079222543,0.026678066,-0.1663868,-0.368641664,0.099706143,0.169928866,0.113821798,-0.101326467,1.192364783,0.758474211,0.489287078,0.402232007,0.650508626,0.015514212,0.044673947,0.576412313,0.752763499,-0.1877465,-0.629103648,0.702967854,-0.018849081,0.254443778,1.181907408,,,,,,,
P00492,0.121990232,0.608380081,0.147137227,-0.253225132,0.156152179,-0.08455559,-0.304421157,0.124905359,0.123009654,0.050531544,-0.070711359,-0.121835056,0.129833961,0.071829182,-0.196080932,0.321630089,0.384063279,0.243046061,0.102974035,0.470864238,-0.33709463,-0.069265328,0.190180731,-0.1472047,-0.190892378,0.082052221,0.290943651,0.62364869,0.802761002,0.288338032,,,,,,,
P00505,0.134095687,-0.351130229,0.470197418,0.135898127,-0.820157998,-0.120672459,0.055007915,0.001541441,-0.003369766,0.153363038,-0.08102675,0.35352903,0.41305483,-0.083539766,0.042996154,0.311405398,0.603739703,0.81829077,0.336534966,0.224181756,0.301182943,0.612747877,0.374754073,0.065044221,0.330436502,-0.597974996,0.192089708,-0.141743207,-0.422201486,-0.10216273,,,,,,,
P00558,-0.103290197,0.606602388,0.05470472,-0.148826067,0.248380289,0.135458528,0.103273413,0.004588163,0.049127303,-0.097607691,-0.12931228,0.054044194,0.290250342,0.042590316,0.029984246,0.166428857,0.396787282,0.007599603,0.277644599,0.256798653,-0.076397638,0.13224695,0.041179831,0.083360237,0.403155215,0.04863843,0.069178698,0.23060041,0.51004065,0.305971622,,,,,,,
P00738,-0.996704233,-0.579474718,-0.229085248,0.368136012,-1.131016401,-0.265302859,-1.352043635,-0.085407705,-0.020261165,-0.028410278,0.503383493,-0.528461738,-0.117432812,-0.404684779,-0.084214996,-1.71187558,0.012970009,-0.94354258,-0.050920144,-0.382961499,-0.722926108,0.308604051,-1.262681582,-0.688705631,-1.331642364,-0.697497928,-0.442601978,0.10655344,-0.057809709,-0.7451864,,,,,,,
P00747,-0.697834359,-0.538961079,-0.412188093,0.297825946,-0.883065647,-0.223409222,-0.478465637,-0.250027953,-0.133612996,0.11032621,0.719108359,-0.364186445,0.008865976,-0.175184188,0.022400683,-1.327068494,0.087370917,-0.711412733,-0.145371404,-0.086306476,-0.394045442,0.602574031,-0.57462206,-0.786460261,-0.681217969,0.459612239,0.035321941,-0.603220376,0.388743397,-0.776127542,,,,,,,
P00966,0.417526742,-0.714406046,0.726083709,0.502213891,-0.242262923,0.267481161,0.184766496,-0.048728474,0.100498243,0.093391048,-0.090353234,0.311700343,-0.374940404,0.218787177,-0.077903561,0.089029256,0.181246845,0.727400949,0.288131557,0.033627509,0.193652082,-0.323629393,-0.313445513,-0.095951376,-0.410920294,-0.136246773,-0.502269519,-0.323800874,-0.184053928,-0.856500748,,,,,,,
P01009,-0.588151116,0.140917296,0.151579482,0.368979319,-0.236968347,-0.096645301,-0.793538862,-0.106054894,-0.178539766,-0.152493675,0.261457571,-0.236077854,-0.138540568,-0.367279796,0.022787764,-0.612458779,1.306677938,-0.735136184,0.029650716,-0.238948567,-0.597172393,0.639230756,-0.137740863,-0.830019181,-1.061796788,-0.56389762,-0.636601474,0.30958644,-1.971923202,-0.564981834,,,,,,,
P01019,-0.760114615,-0.208785637,-0.128232964,0.193521479,-0.138189664,0.078046231,-1.237508518,-0.118824015,-0.258429467,-0.471145424,0.329669776,-0.301723031,-0.127238836,-0.899227938,0.387002086,-1.55797822,2.264425185,0.442477656,-3.408879718,14.8173949,19.16554014,1.460775768,0.074770216,-0.160934512,-0.265569426,6.382494634,-6.998252076,4.75049437,-1.619801342,-0.187970236,,,,,,,
P01023,-0.670130761,-0.268967859,-0.053568874,0.259108474,-0.648602743,-0.228843054,-1.036505814,-0.215587416,-0.203855628,0.044445172,0.111400709,-0.518906459,-0.033659217,-0.060732703,-0.056753596,-1.044878173,0.1581832,-0.230316875,-0.069784082,-0.331782682,-0.470764423,0.380869903,-0.384067902,-0.520491484,-0.781768103,-0.354024064,-0.23571825,-0.016009279,-0.092314441,-0.576857834,,,,,,,
P01024,-0.72039052,-0.481889003,-0.189353613,0.600647197,-0.499752473,-0.033008532,-0.816518246,-0.039476091,-0.072321231,0.13530044,0.274819315,-0.316925063,-0.112274236,-0.302721957,0.053421682,-1.20707475,-0.045534719,-0.633159792,0.102803363,-0.479023931,-0.630903628,0.588811785,-0.594988089,-0.17686901,-0.716225205,-0.238552062,-0.352617978,0.093404147,0.184410301,-0.540880585,,,,,,,
P01034,-0.183412149,-0.759533974,-0.018326851,-0.370783534,-0.752145947,0.196786916,-0.224482133,-0.033265924,-0.168756116,-0.421310686,-0.034056871,0.262278354,-0.010096716,-0.655507046,-0.123378322,-0.287445557,-0.108089955,-1.031728375,0.523038098,0.172171127,-0.609245573,0.555452675,0.821476688,-0.497395489,0.084681534,0.306121162,-0.609193812,-0.449757921,-1.319135303,-1.29565605,,,,,,,
P01282,-0.823184473,-1.854345676,-1.622358691,-0.745369604,-1.700282505,-0.326132128,-0.576629353,-0.023737995,-0.508868366,-0.177743817,-0.809629936,-2.469326606,-0.955376762,-1.197352943,-0.114254227,-0.954951913,-1.899810391,-1.902255439,-0.560293001,-1.210492354,-1.116753573,-0.311471134,-1.836035025,-0.361510727,-0.747689476,-0.693118897,-1.335422976,-0.764239414,-0.838849173,-1.706981922,,,,,,,
P01598,-0.422682081,-1.179554972,-0.810953044,-0.476887416,-1.999186245,-0.307550555,-0.370548329,-0.441349624,-0.297134446,0.115840102,-0.223495774,-0.481125451,-0.25545179,-0.12452584,0.036881902,-0.756167017,0.445611148,-0.494301206,-0.584340302,-0.661377322,-0.714596086,-0.411122633,0.253286802,-0.75642146,-0.640183363,-0.003716317,1.179928358,-0.48325055,-0.026746245,-0.336930227,,,,,,,
P01620,0.645700916,-1.051161118,-1.273679741,-0.256015758,-2.014519129,-0.330265975,-0.420620582,-0.317040324,-0.312815344,-0.424028149,-0.681565796,-0.558153887,-0.706141482,0.066652214,0.092305582,-0.805967613,0.506587443,-0.628434222,-0.781627144,-1.293220143,-1.090501596,-0.181747808,-0.275022188,-0.588264995,-0.545053623,-1.056760512,0.571931454,-0.611101286,-0.253455285,-0.631090979,,,,,,,
P01625,-0.018778204,-1.723727149,-1.502008204,0.020969582,-1.418522201,-0.028971873,-0.723828676,-0.370223483,-0.341789044,-0.290172154,-0.398271164,-0.456093608,-0.524409333,-0.490889047,-0.077916471,-1.102894484,-0.419956413,-0.038196779,-0.761756388,-1.23735912,-0.740251615,0.690800143,0.776926881,0.069178634,-0.969881296,-0.436368994,0.524877651,-0.553339582,0.085015602,-0.593980978,,,,,,,
P01833,-0.305811788,-1.872525975,-0.942424843,0.024883288,-0.397458584,-0.196487752,0.378752375,-0.217290796,-0.221912078,-0.239723162,-0.716073094,-0.327662008,0.182840009,0.388839436,0.01495964,0.404534688,0.853039037,0.866992271,-0.178525641,-0.644978607,-0.110069411,0.084319678,1.270163145,-1.204969343,0.670720044,-1.038206835,0.3423506,0.130031775,-0.624719873,-0.541386992,,,,,,,
P01834,0.277977271,-0.616650923,-1.195160313,-0.462355577,-1.89763177,-0.138317344,-0.462725829,-0.198987442,-0.226938138,-0.467902977,-0.16804123,-0.52162209,-0.591159013,0.249943526,0.092525299,-0.391097883,0.515117858,-0.772135548,-0.509016632,-1.493002796,-0.773539858,0.261030096,0.302988993,-0.972336188,-0.54673752,-0.34355662,0.612438389,-0.226251022,-1.140890142,-0.717263886,,,,,,,
P01857,-1.113040674,-0.713536219,-0.35707933,0.381698411,-1.406912772,-0.005084727,-0.971287383,-0.262008879,-0.367816877,-0.343098031,-0.003054775,-0.61290607,-0.475345351,-0.143254186,0.029836435,-0.397820018,0.424259788,-0.743934527,-0.268956032,-1.066045308,-1.30049769,0.287673647,-0.257667972,-0.149912646,-1.135273936,-0.852196014,-0.264793706,0.358554977,-0.422954338,-0.689860073,,,,,,,
P01871,0.131041942,-0.969087826,-0.35270058,-0.452710434,-1.75284427,0.600237151,-0.523276333,-0.177724068,0.211834519,0.006859753,-0.295363613,-0.282413004,-0.351590269,-0.240278989,-0.078470796,-0.492534256,0.107587995,-1.173141466,-0.207791801,-1.673632325,-0.178266509,-0.629424693,-0.632035818,-0.961733446,-0.824042696,-0.226790684,1.076022431,0.076084064,-0.534001035,-1.259602415,,,,,,,
P02545,-0.031795543,0.728175461,0.1089771,-0.005087214,0.437002347,-0.04806485,0.115544218,-0.099109556,0.114655355,0.062080158,0.09617392,0.024123189,-0.136943611,-0.184480743,0.019123662,-0.214584782,-0.330794876,-0.531594083,-0.154736594,0.267262221,-0.418668319,0.045878429,-0.389395179,0.084568387,0.013052312,-0.310272926,-0.704761695,0.193031522,-0.069590575,-0.716103653,,,,,,,
P02647,-1.010522936,0.777099398,-0.051624327,0.832928709,-0.209153639,0.432797436,-1.012424302,0.020651782,-0.215009114,0.170947243,0.533800346,-0.282312965,-0.119442872,-0.209657007,0.071306101,-0.992406231,0.504977681,0.233011062,0.742914616,0.112042933,-0.713764989,0.870942134,0.631493685,0.258729574,-2.047173234,-0.490832315,-0.424595947,0.414592567,-0.694891668,0.250371347,,,,,,,
P02652,-0.834312245,0.359418257,0.061723573,1.025377216,0.311197315,0.486344422,-1.094156768,-0.234677835,-0.497528908,0.272576617,0.779607258,-0.271323668,-0.428866566,-0.210722021,0.028465717,-1.467863975,0.344863065,-0.671642,1.013781039,-0.304181416,-0.854026678,0.232167128,0.666148601,0.072648212,-1.459918952,-0.940429727,-0.021916519,0.86554923,-0.705721981,-0.246935405,,,,,,,
P02671,-0.652244037,-0.500130163,-0.86411213,0.514092874,-0.918396925,-0.122618373,-1.135905847,-0.103178024,-0.167236522,-0.013604606,0.155332082,-0.970570691,-0.178480197,-0.299344919,-0.136050705,-0.749543986,0.056591532,-0.717337611,0.077345785,-0.369980718,-0.878130289,0.418637612,-0.279076792,-0.158043053,-0.633078191,-0.166801775,-0.293534014,-0.080859854,0.17981623,-0.499446949,,,,,,,
P02675,-0.658875761,-0.345554491,-0.392053487,0.350751831,0.347481659,0.081594527,-1.141040845,-0.178215474,-0.278190048,-0.126515717,-0.136417217,-0.823419504,-0.023497049,-0.275996656,-0.005086363,-0.964704058,0.329235805,-0.761963954,-0.047571329,-0.073867794,-0.451532248,0.483967662,-0.663362494,0.001371663,-0.550063411,-0.105580702,-0.394057247,0.131198754,-0.109081163,-0.407632347,,,,,,,
P02679,-0.529767508,-0.745774075,-0.628794716,0.272841798,-1.138336016,-0.330729765,-1.133080181,0.035724555,-0.221175763,-0.00227729,-0.08360785,-1.01129887,-0.25898776,0.031966942,0.079815949,-1.24090806,-0.020405326,-0.997833038,0.306162,-0.45087282,-0.768292778,0.353754628,-0.774768653,-0.630658018,-0.197609587,-0.116204384,-0.10004908,0.156286276,-0.195325028,-0.52568457,,,,,,,
P02730,-1.626587732,-0.883589888,0.051733928,0.550790768,-0.822902375,-0.841618893,-0.309938966,-0.265458209,0.059664594,-0.246836593,0.104432625,0.04857789,-0.073664133,-0.17450232,0.045084795,-1.055475256,-1.25504195,-0.553803489,-0.719544424,-0.440019503,-1.550010518,0.961339684,0.051733384,-0.562528736,-0.243954399,0.22027945,-0.269629199,0.60434322,1.193403539,0.181611611,,,,,,,
P02743,-2.50775229,-1.486445581,-0.527879473,0.508322653,-1.7538455,-0.360024473,0.032549356,0.00410208,-0.144677821,0.002551408,-0.266515916,-1.852014486,-1.348306084,-1.260219229,-0.157838545,-0.850097995,-10.38496921,-1.485884802,1.089605327,-2.766919527,-1.213234714,1.917202049,-1.940935273,-0.965105945,2.029659399,-1.195597334,-1.42583791,-1.149825161,-0.980851277,-2.360647097,,,,,,,
P02749,-0.660382894,-0.301935798,-0.909773223,0.924718144,-1.190167406,0.046409185,-0.682769786,-0.285386953,-0.410359331,-0.075127844,-0.022820356,-0.52620222,-0.228844583,-0.258525458,-0.041818932,-0.683571587,7.34907116,5.880653306,0.61363502,-0.73424318,-0.365722802,1.275041055,-0.761964192,-0.450213945,-0.638807597,-0.410935881,-0.430912144,-0.594441924,0.366101166,-0.331137897,,,,,,,
P02760,0.369346801,0.333932075,1.459364436,0.512090382,-0.905846917,-0.404897925,-0.653175069,-0.114237767,-0.05337658,-0.224672757,0.17421232,-0.336260523,-0.195211079,-0.684768579,-0.045338838,0.335731987,1.130720074,-0.457329061,1.457231682,-1.147228544,-0.146720662,0.239189128,0.946475736,0.323459835,-1.139075559,-0.773948221,-0.408974702,0.961247575,0.439315439,-1.022211501,,,,,,,
P02763,-1.314260111,0.143065693,-0.030569776,0.225843903,1.189213567,-0.426839726,-1.38697061,-0.277573319,-0.509026855,-0.147255131,0.07414473,-0.440197859,-0.300961435,0.008984886,-0.354268372,-0.604672368,1.468175751,-0.364296827,-0.153906129,-0.3136175,-0.923392943,0.419939224,0.971043171,-0.934981225,-0.378639683,0.017206406,-1.866013684,0.111684807,-0.398024646,-0.20638305,,,,,,,
P02786,0.517774959,-0.069813419,-1.107438385,0.107604643,-0.307827903,-0.015638577,0.145738066,-0.041432826,0.071551547,-0.044897772,-0.079771581,0.317223052,0.082667317,-0.296542759,0.034165944,0.643700431,0.130253565,0.316994617,-0.653908754,0.500539056,0.011538712,1.376716278,0.326617464,1.091647463,1.143709178,0.469452271,0.238771139,0.077585588,0.737777913,0.477053601,,,,,,,
P02790,-0.64106702,-0.278301451,-0.258842987,-0.27470565,-0.703666375,-0.370405963,-1.016919771,-0.145129351,-0.273788972,0.032133726,0.160785086,-0.520892509,-0.14434735,-0.18613869,-0.142306221,-0.565778047,0.399208921,-0.486392033,-0.179153317,-0.222215024,-0.458450059,0.245206923,-0.117646406,-0.38221021,-0.747875662,0.664177444,-0.552847656,0.101125467,-0.207612514,-0.769582559,,,,,,,
P04004,-0.835303863,-0.233890474,-0.347626904,0.138297462,-1.119573595,-0.010938326,-0.892744041,0.005212219,-0.405414747,0.000296301,0.349772167,-0.917498915,-0.32770009,-0.39337418,-0.218625627,-1.061828789,0.080627277,-0.570590107,-0.627660303,-0.275328241,-0.638258254,0.679312107,-0.401527552,0.099881816,0.119726966,-0.453995452,-0.247883853,0.069777871,0.383974851,-0.548319529,,,,,,,
P04066,-1.72215778,-1.441668752,-0.663552493,-1.545970346,-1.783755586,-0.731691694,-0.375642525,-0.281718273,-0.750481852,-0.250197703,-0.503221462,-1.517913108,-0.116471749,-0.516452641,0.058110813,-2.248704234,-0.138801309,-1.411781807,-1.470494423,-0.106172876,-2.852309485,-2.342498336,-1.737350175,-1.998398809,-0.941972036,-1.177431201,-1.337703186,-0.095048512,-1.571527738,-1.113243565,,,,,,,
P04075,-0.25324516,-0.079860973,-0.181203821,-0.190346765,0.164555534,-0.117375796,0.0906944,-0.203056641,0.046497423,-0.098226478,-0.151350244,-0.018671781,0.085599526,-0.023627888,0.029722163,0.019394595,0.088391903,-0.606068512,-0.24389473,0.228929001,-0.294227537,-0.174615356,-0.060370976,0.064866323,-0.106792013,0.376345928,0.081894258,0.301494122,0.353223531,-0.028383998,,,,,,,
P04080,0.3593035,0.543746107,0.713399626,-0.136450999,0.95980103,0.044642332,0.226824896,0.0570413,0.137865172,0.323950983,0.493964891,0.254463241,1.283120832,-0.010774287,-0.114857094,0.581755804,0.88377365,0.929843928,0.823461037,1.062996177,-0.44670015,-0.111968814,0.484321418,-0.045666248,0.058847224,0.522615511,0.177181467,1.702180556,-0.292389855,0.512512905,,,,,,,
P04083,-0.338171693,-0.009578124,-0.905565922,-0.324220076,0.151044587,0.183658313,-0.167631707,-0.037606101,-0.035007971,0.077787917,-0.3060821,-0.650811953,-0.31573778,-0.329869414,-0.193304665,-0.001287854,-0.310387291,-0.971195021,0.196862906,-0.347656818,-0.821130794,0.012019715,-0.538325635,0.253232655,-0.358267543,-0.734074726,-0.171879475,0.812694662,0.323017726,-0.567535563,,,,,,,
P04196,-0.514356358,0.012206577,-0.599427648,0.336608221,-0.888918725,-0.144152075,-0.245088506,0.216190065,-0.456384479,0.062569033,0.373796539,-0.418111562,-0.042936623,0.144681791,-0.250101494,-0.934808119,0.549314566,-0.410384778,-0.030349879,0.106272347,-0.964944706,0.542880415,-0.227454084,-0.505988158,0.315291833,-0.699018763,-0.837126679,0.49025091,0.357080325,-0.608064695,,,,,,,
P04217,-0.435912712,-0.081169266,-0.807108069,-0.134606047,-1.048723841,-0.394365309,-0.725171168,-0.222138585,-0.351619477,0.061488594,0.423499201,-0.478046688,-0.067433715,0.15732094,-0.088217534,-0.602586438,0.155955314,-0.449834435,0.098645608,-0.320376974,-0.768924201,0.868725064,-0.582586936,-0.398255732,-0.683482328,-0.249776453,-0.461955223,0.412849332,0.065182271,-0.926566366,,,,,,,
P04406,0.167162358,0.006473485,-0.245356632,0.104466257,-0.038438152,0.028677011,0.044616618,-0.07574843,0.105611755,-0.034169544,-0.022188694,0.117248045,0.275798048,0.125191011,-0.017606543,0.182112902,0.957520143,-0.602721791,0.182110067,0.780634955,0.068995951,0.399669325,0.531829703,0.173182942,0.634430959,-0.327965355,0.257870697,0.518012719,0.427272143,0.02166693,,,,,,,
P04632,0.159773901,0.157479577,-0.051972108,-0.04135385,0.655626243,-0.118589576,-0.179466792,-0.102492125,0.145280349,0.034599725,0.145687334,0.194381429,-0.059561641,0.09720138,0.086344486,0.259812009,1.034108942,0.092876863,0.912901782,-0.076885932,0.395417689,0.189159889,0.440103619,0.432514208,0.808608994,-0.935382567,1.698588986,-0.404447526,0.11659047,0.658383911,,,,,,,
P04792,-0.072881597,-1.868803973,-1.840528519,-0.05886974,-1.356133565,-0.499394171,-0.041202774,-0.004943633,-0.255947748,-0.251569486,-0.360694606,-0.542287352,-0.387165766,0.01226198,-0.062116666,0.032751702,-0.293117579,-0.84723619,-0.213667478,-0.624666484,-0.825278433,-0.416213661,0.630439124,0.542752582,-0.287163628,-0.46740936,-0.813652633,0.89777197,-0.332495471,0.009396263,,,,,,,
P04843,0.430315257,-0.457079701,-0.22071035,0.206164155,0.36008813,0.215534862,0.029175472,-0.160762529,-0.015622261,-0.059439282,0.059171564,-0.071317145,-0.106089975,0.078693179,0.043547594,0.511990345,0.516200055,0.057160138,-0.071024599,0.385304565,-0.380640097,0.217569479,0.455106026,0.480780823,0.342943467,0.131850605,0.232153176,-0.005184799,0.320793019,0.017896757,,,,,,,
P05091,0.16252238,-0.110219243,0.787733125,0.465712928,0.228843731,0.087255081,0.10780955,-0.002959068,-0.029310241,-0.057659202,-0.126435571,0.296377798,0.361274365,0.149282896,0.036738817,1.059944512,0.888705099,0.901093718,0.272471717,0.790313038,0.512833036,0.568140369,0.941822486,-0.033359137,0.280223269,0.40191171,0.123700101,-0.106890826,-0.678463154,0.154704286,,,,,,,
P05165,-0.128832419,-0.931345447,0.250733575,-0.289558175,-0.829673773,0.061690323,-0.033957306,-0.059744297,-0.189195272,0.103527857,-0.191110512,-0.500877667,0.418869281,-0.044884158,-0.140876036,0.126232087,0.402416158,0.528715219,-0.102429776,0.187624951,0.327580748,0.480547414,-0.28420827,-0.380473126,-0.408840404,0.597437526,-0.297205507,-0.227564022,-0.112804586,-0.013231734,,,,,,,
P05386,0.584277864,0.070313624,-0.270236097,0.392371577,-0.004012852,0.238851355,0.044166588,0.057336767,-0.112939487,0.236195561,-0.309566912,0.080893551,0.047749954,0.174506521,0.303007277,-0.58313109,0.880288113,0.150211438,1.240916906,0.719815107,1.093472409,-0.080563893,0.303982263,-0.317471756,0.769325478,0.427335268,0.063887332,1.076522594,-0.060161945,0.970102297,,,,,,,
P05387,0.610384875,0.596683084,-0.290062418,0.057944338,1.14241433,0.181667122,0.070165309,-0.110572649,-0.066242252,-0.01836059,-0.22661815,-0.008575481,-0.107378417,0.303651024,0.048322928,1.09173674,1.128195025,0.496351796,-0.227749856,0.537226287,0.158690124,0.620169637,1.123523155,0.127508428,0.91894036,-0.907196629,-0.001342241,0.426600011,-0.536676461,0.185138684,,,,,,,
P05388,0.378968842,0.115368456,-0.071028472,0.424751957,-0.020912349,0.093885098,-0.00964753,0.000671465,-0.002367859,0.040314344,-0.089407838,-0.22082411,0.107590144,0.113916933,-0.078760389,0.396725707,0.279971561,0.3764178,0.34239936,0.349186496,0.040155192,-0.198820245,-0.043060596,-0.509323664,0.820661017,0.524090776,0.176088249,0.355690231,-0.127684347,-0.43840784,,,,,,,
P05556,0.252307166,-1.097557528,-0.701209054,0.134743382,-0.500612343,0.038729955,0.16268167,-0.05465659,0.148342838,-0.267729715,0.022194337,-0.127427654,-0.452991005,0.177886431,-0.093104819,-0.272586926,0.573798235,-0.454771768,0.142456333,-0.053493685,0.14348358,0.304552552,0.297417355,0.06373096,0.397471074,-0.601288139,-0.409734711,-0.093668273,0.129822481,-0.178171393,,,,,,,
P06576,-0.091316547,-0.588852896,0.395587053,0.181213957,-0.729912962,-0.084421797,-0.183203213,-0.236492088,-0.174940435,-0.12762798,-0.228194476,-0.445512792,0.084696018,-0.241918774,-0.057383871,0.102879399,0.064342481,-0.275520515,-0.006362431,-0.030418102,0.066618068,0.491773346,0.184799372,-0.465217594,-0.078490527,0.572928682,-0.72800325,-0.189835055,-0.887341857,0.005988588,,,,,,,
P06703,0.534852781,3.200923374,1.171451362,0.456693715,2.282021369,0.523576172,0.468582446,0.108614015,0.665930915,0.865235996,0.937237486,0.991450967,1.298018399,0.222274313,0.065593979,0.544068864,1.936048072,0.680578153,1.441171643,2.817254923,1.39639352,0.439011594,0.999613772,0.747865205,1.422735029,0.485590466,0.659790102,2.055721586,-0.152068941,0.787277373,,,,,,,
P06727,-0.181541973,-0.169625665,-0.678352277,-0.081721286,-0.559986456,-0.143906041,0.063267984,-0.060601035,-0.205726766,-0.086877383,-0.014737317,-0.180072359,0.257854948,-0.145650418,-0.116649881,-0.462883375,0.577699968,-0.655820203,-0.34595514,-0.117006082,-0.588383101,-0.090362412,-0.281332466,-0.206918441,-0.883649713,-0.831433136,-0.12528497,-0.004442433,-0.405309983,-0.235337998,,,,,,,
P06733,0.130407192,0.681418225,0.141503626,0.344715125,0.194379137,0.104792663,0.071795578,-0.043357745,0.144324865,0.11614329,-0.20515359,0.083777779,0.281092039,0.131109295,0.033575203,-0.049138277,0.244985502,-0.220192802,0.701315625,0.523201307,-0.474937935,0.091965532,-0.454280101,1.044742462,0.044302615,0.677655138,-0.102534709,0.61894421,0.719494395,0.287933404,,,,,,,
P06748,0.566386335,0.448047888,-0.052053784,0.894838988,0.117851075,0.265305717,0.352849096,-0.021893341,0.278684782,0.32611253,-0.055515939,0.061452306,0.4192883,0.203962206,-0.019278168,1.131045692,1.205422693,0.36800022,0.891305233,0.354307667,0.76971814,0.366440272,0.321784609,1.006116795,0.463748634,0.740854742,0.239065524,0.365080149,0.972086289,0.664116415,,,,,,,
P07099,-0.542028825,-0.895333266,-0.69393949,-0.153070515,-0.993487221,-0.298388813,0.087779239,-0.163845569,-0.028021623,0.003807299,0.182419276,-0.253835063,-0.270878555,-0.631670606,-0.04893374,-0.351332009,-0.652338694,-0.930721977,0.612718852,0.01375928,-0.62400483,0.223412422,-0.225649104,-0.515388197,2.846681842,-2.171756939,-2.594871867,-0.246016103,0.166588822,-0.935301631,,,,,,,
P07148,-2.176594167,-2.405015431,-0.620567442,-3.147542646,-0.154949637,-1.208840144,-0.291042102,-0.28102152,-0.371737592,-1.190167737,-0.734603172,-0.165700357,1.19423341,-0.430803143,0.093538203,-0.188152437,1.16866431,0.398574933,-1.496478009,0.053216756,-1.457053257,-1.65151666,0.043055423,-1.678242524,-1.972598415,-2.08121753,-0.394906963,1.957722387,-2.662958027,-0.987181277,,,,,,,
